size problem_name largest_coefficient smallest_coefficient largest_increase smallest_increase steepest_edge flattest_edge lexicographical_max lexicographical_min random_edge random_variable
2 Furniture 2 2 2 2 2 2 2 2 2.00 2.00
6 WhiskasProblem2 9 5 3 12 7 5 2 11 5.17 4.82
7 FactoryProblem 7 5 5 13 6 7 6 8 6.77 6.56
9 FruitProblem 4 11 4 18 4 13 12 10 8.83 8.82
10 BeerDistributionProblem 2 4 2 4 2 4 3 2 2.85 2.82
12 CargoesProblem 7 25 7 26 7 26 14 12 11.09 11.44
13 BankProblem 6 13 5 10 6 10 9 7 8.09 8.17
14 AmericanSteelProblem 3 5 4 4 4 4 3 5 3.81 3.82
20 ComputerPlantProblem 7 8 7 6 7 7 8 7 6.45 6.65
21 ShiftProblem 7 25 7 26 7 26 14 12 6.88 6.99
